Sample ID,Island,Latitude (degrees N),Longitude (degrees E),Rock name,Al2O3 (percent),Cr (ppm),Rb (ppm)
s_ND7 [920],CANARY ISLANDS / LANZAROTE,29.00,-13.60,"BASALT, ALKALINE [920]",16.03,13.00,33.52
s_AZ05-AO [19003],AZORES / FAIAL,38.62,-28.75,NOT GIVEN [19003],20.93,13.00,35.00
s_80 [481],ST. HELENA CHAIN / ST. HELENA / NORTHEASTERN VOLCANO / SHIELD STAGE,-15.95,-5.70,"BASALT, ALKALINE [481]",16.06,13.00,36.00
s_TDC85 [521],TRISTAN DA CUNHA GROUP / TRISTAN DA CUNHA,-37.05,-12.30,BASANITE [521],16.16,13.00,65.00
s_110026 [8504],CAPE VERDE ISLANDS / SAO ANTAO / YOUNG VOLCANICS (SAO ANTAO),17.00,-25.00,NEPHELINITE [8504],15.97,13.00,70.00
s_4850-01/470- [6576],HAWAIIAN ISLANDS / HAWAII / HUALALAI / POST-SHIELD STAGE / PUU ANAHULU FLOW,19.85,-155.84,TRACHYTE [6576],17.43,13.00,130.00
s_116547 [8459],CANARY ISLANDS / LA PALMA / CUMBRE VIEJA,28.47,-17.86,"PHONOLITE, TEPHRI [8459]",20.31,13.00,157.70
s_M35 [15682],MASCARENE ISLANDS INCL. REUNION / MAURITIUS,-20.31,57.44,NOT GIVEN [15682],14.94,13.20,47.20
s_IC-0206 [14961],ICELAND / ICELAND / HEKLA,64.02,-19.65,"ANDESITE, BASALTIC [14961]",14.35,13.40,23.50
MCD05,McDonald seamount,,,,15.61,13.80,1.97
s_GM92-58 [973],KERGUELEN / FOCH / MOUNT BUREAU,-48.55,68.50,"BASALT, TRANSITIONAL [973]",13.26,14.00,8.00
s_BY96-31 [5177],KERGUELEN / KERGUELEN ARCHIPELAGO / MONT DES RUCHES,-48.87,68.96,"BASALT [5177] / BASALT, TRANSITIONAL [14785]",13.14,14.00,18.20
s_OR138 [4594] / s_OR-138 [14498],ICELAND / ICELAND / ÷RAEFAJ÷KULL,64.03,-16.68,BASALT [4594] / NOT GIVEN [14498],14.55,14.00,21.00
s_P20 [756],PITCAIRN-GAMBIER CHAIN / PITCAIRN / ADAMSTOWN FORMATION / INTRA-CALDERA STAGE,-25.07,-130.10,"BASALT, ALKALINE [756]",15.58,14.00,27.00
s_M-53 [7878],MASCARENE ISLANDS INCL. REUNION / MAURITIUS / OLDER SERIES / SHIELD STAGE,-20.33,57.50,BASALT [7878],15.99,14.00,28.00
